player_id,player_name,sex,n_games,win_rate,avg_ace,avg_df,avg_svpt,avg_first_in,avg_first_won,avg_second_won,avg_sv_gms,avg_bp_saved,avg_bp_faced,cluster,PC1,PC2,PC3,PC4,best_rank,rank_level,dominant_sex,mis_clustered_type
214181,Anastasia Gasanova,WTA,25,0.44000000000000006,1.4400000000000002,7.239999999999999,80.36,54.56,31.88,10.6,11.64,5.239999999999999,10.32,2,-0.32201726482495685,-2.333564092309709,2.0223427711244466,1.8061980068520074,121,18,WTA,Correct
214191,Seone Mendez,WTA,5,0.4,0.8,2.4,70.2,44,24.4,12.4,10,4.8,9.4,2,1.591044817203813,-0.9432804833723988,-0.5994420103131786,-0.7214080979111963,198,25,WTA,Correct
214262,Ena Shibahara,WTA,13,0.38461538461538464,3.3636363636363638,4.2727272727272725,74.81818181818181,43.18181818181818,27.454545454545453,13.636363636363637,11.181818181818182,5.090909090909091,9.545454545454545,2,0.4239006382663428,-0.9365106485541487,0.9176869729903291,-0.5030924647788844,448,29,WTA,Correct
214263,Catherine Cartan Bellis,WTA,14,0.5,1.5,3.142857142857143,72.85714285714286,45.07142857142857,27.714285714285715,12.928571428571429,10.5,5.142857142857143,9.214285714285714,2,0.8452603316032421,-1.0566884042708438,-0.1100995662232665,-0.49815113709776526,131,19,WTA,Correct
214304,Vera Lapko,WTA,9,0.33333333333333337,5.25,4.5,78.375,42.875,28,15,12.375,5,10,2,-0.45835932243388805,-0.792290784936115,1.3450875384028165,-0.7566944820723537,277,27,WTA,Correct
214388,Anna Bondar,WTA,91,0.4285714285714288,4.046511627906977,2.41860465116279,70.69767441860465,41.86046511627907,27.8953488372093,13.046511627906977,10.790697674418606,4.197674418604651,7.581395348837209,2,0.7973320979685398,0.5655343319222303,-0.36117872993612815,-0.558089273516569,50,10,WTA,Correct
214405,Mirjam Bjorklund,WTA,19,0.368421052631579,2,1.5263157894736843,79.47368421052632,55.1578947368421,32.73684210526316,12.31578947368421,11.368421052631579,6.315789473684211,10.105263157894736,1,-0.7649579095059956,-2.249407296904002,-1.5585469835149108,-0.24361025746539616,123,18,ATP,Mis-clustered WTA
214452,Caroline Dolehide,WTA,74,0.4054054054054054,2.5270270270270268,3.7432432432432434,74.01351351351352,52.25675675675676,32.25675675675676,9.445945945945946,11.027027027027028,4.864864864864865,8.783783783783784,2,0.2331753108051968,-1.0560990683719993,-0.2775155479069661,1.2477434658271869,41,8,WTA,Correct
214459,Lucia Bronzetti,WTA,129,0.4728682170542641,1.944444444444445,2.4047619047619047,69.57142857142857,42.357142857142854,26.071428571428573,12.476190476190474,10.341269841269842,4.634920634920636,8.484126984126982,2,1.353650696780103,-0.29803524819412985,-0.5104775122930159,-0.6568312562219093,47,9,WTA,Correct
214461,Tamara Zidansek,WTA,127,0.45669291338582735,0.9833333333333336,3.625,73.98333333333333,48.11666666666667,28.950000000000003,11.383333333333333,10.941666666666666,4.691666666666666,8.991666666666667,2,0.6904045791799548,-1.0026596021191094,-0.0988870504419967,0.35877821023932877,22,4,WTA,Correct
214480,Miriam Bianca Bulgaru,WTA,7,0.2857142857142857,1,2.4285714285714284,77,47.42857142857143,27.857142857142858,13.142857142857142,11.857142857142858,3.4285714285714284,8.571428571428571,2,0.29651959066698247,0.015231607925012302,-0.7345962353669477,-0.13529685683649798,183,24,WTA,Correct
214507,Berfu Cengiz,WTA,5,0.2,0.75,3.75,48,30.25,19.75,7,7.75,2,5,2,5.275765591402946,2.5324623750965864,0.15813153277356942,0.80162115135657,228,26,WTA,Correct
